Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
It’s character driven with amazing sets and visuals.,character driven/amazing sets/character/visuals/sets and visuals,amazing sets,"Appealing characters/I like the characters,Like the premise/setting/scenery,Good visuals/graphics/special effects,,,,"
Very good show to watch I really enjoy it,good show/really enjoy/good/show/watch,good,"Good/like the show/everything,Witty/humorous/funny/entertaining,,,,,"
I'm really not sure I've only watched it once,really/really not sure/sure/watched,,"Have not watched enough to comment/not familiar with the show,,,,,,"
i dont know what to say but am really excited for this new season of this beloved show,beloved show/really excited/new season/show/know,new season,"Exciting,,,,,,"
I think that because they have a futuristic and western setting at the same time it really keeps me watching,western setting/really keeps/watching/keeps me watching/think,western setting,"Futuristic,Western aspect,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Just the reality warping type drama it brings.,reality warping type/warping type drama/reality warping/warping type/type drama,warping type,"Looks realistic,,,,,,"
You have any questions or would like to discuss this matter is greatly welcome in this matter as I have a very good time to work,would like/greatly welcome/good time/work/matter,good time,"None/no answer,,,,,,"
cool,cool,,"Good/like the show/everything,,,,,,"
qwertyuijytrewertyuiujyhtgretyjghjgfedwrtyjh,qwertyuijytrewertyuiujyhtgretyjghjgfedwrtyjh,,"None/no answer,,,,,,"
N/A,,n,"None/no answer,,,,,,"
"The character arc, particularly if Dolores and the man in back are very interesting. The show itself tackles interesting concepts in a new and different way",character arc/dolores/tackles interesting concepts/particularly if dolores/arc,interesting concepts/character arc/different/interesting,"Like the character Dolores Abernathy,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
Have only seen part of one episode so I have no opinion.,one episode/seen part/episode/seen/part,part,"Have not watched enough to comment/not familiar with the show,,,,,,"
"The writing, the story, the acting, the scenery are all impressively done. Love the genre",impressively done/writing/story/acting/done,story/writing,"Like the writing/dialog,Good acting,Like the premise/setting/scenery,Like the genre,,,"
Interesting,interesting,,"Interesting/engaging,,,,,,"
It's a good kind of dark storytelling,dark storytelling/good kind/storytelling/good/kind,good kind,"Good/like the show/everything,Dark/sarcastic,,,,,"
"You totally misunderstand. I’ve seen one episode, the first episode, a year or two ago. Write your survey better.",totally misunderstand/misunderstand/seen one episode/episode/totally,first episode/episode,"Have not watched enough to comment/not familiar with the show,,,,,,"
"The story line is different, but it is engaging. The characters are make the show exciting, yet it has a darkness to it. The privacy aspect of the show reflects how big ben is always lurking.",story line/different/engaging/show exciting/line is different,show exciting/story line/show/privacy,"Unique/different,Interesting/engaging,Appealing characters/I like the characters,Exciting,Other storyline/Plot mentions,,"
I like the drama,drama/like the drama/like,,"Like the drama,,,,,,"
I love the actors,actors/love the actors/love,,"Good cast/actors,,,,,,"
extermely,extermely,,"Good/like the show/everything,,,,,,"
The artificial intelligence involved in the plot,artificial intelligence involved/artificial intelligence/intelligence involved/plot/artificial,artificial,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Great show!,great show/great/show,great,"Good/like the show/everything,,,,,,"
It’s very different from any other show,show/different,other,"Unique/different,,,,,,"
No NFL football to watch,nfl football/nfl/watch/football to watch/football,nfl,"Other misc. mentions,,,,,,"
waching this program makes me very motivated and can learn a lot,program makes/waching/lot/waching this program/program,program,"Other show characteristic mentions,,,,,,"
I love the nudity.,nudity/love the nudity/love,,"Other storyline/Plot mentions,,,,,,"
"I like sci-fi and it is one of my favorite genres. Artificial Intelligence is also a main talking point at the moment, especially as we as a race move towards more machines and electronics. What makes it a good show is that it is engaging, well-written, has good plots, and knows how to keep the audience engaged.",like sci/sci/artificial intelligence/favorite genres/like,race move/artificial intelligence/favorite genres/good/talking,"Science fiction/fantasy,Like the genre,Technological aspects (inclusion of robots, exploring AI, etc.),Like the writing/dialog,Like the premise/setting/scenery,Interesting/engaging,"
the unusual sci-fi aspect,unusual sci/sci/aspect/unusual,unusual sci,"Suspense/Mystery/thrillers,Science fiction/fantasy,,,,,"
Season 2 was hard to follow...I don't know if I would do season 3 unless someone said that it was better,follow/hard to follow/season/hard/unless someone said,season,"All negative mentions,,,,,,"
Like futuristic element - but want to also keep loving characters from beginning. hard to follow at times. haven't started season 3 yet,like futuristic element/also keep loving/keep loving characters/like futuristic/futuristic element,futuristic element,"Futuristic,Appealing characters/I like the characters,,,,,"
because it is very good and i like it very much,good/much/like,,"Good/like the show/everything,,,,,,"
my whole house sits together to watch,whole house sits/house sits together/whole house/house sits/sits together,whole,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
nothing anymore. season 2 was too confusing,nothing anymore/nothing/anymore/season/confusing,season,"All negative mentions,,,,,,"
The show is very surprising and there is nothing else like it,nothing else like/nothing else/else like/show/surprising,show,"Suspense/Mystery/thrillers,Unique/different,,,,,"
i like the artistic design behind the world that show lives in,artistic design behind/artistic design/design behind/show lives/like,artistic,"Other High quality production values Mentions,,,,,,"
The continuous plot twists,continuous plot twists/plot twists/continuous plot/twists/continuous,plot,"Suspense/Mystery/thrillers,,,,,,"
The futuristic nature of the show. The idea behind AI becoming more self aware and self directed. I like sci-fi. It can be a frustrating show to watch though as it is sometimes hard to follow.,futuristic nature/futuristic/nature/self directed/self,frustrating show/futuristic nature/self/show,"Futuristic,Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,,,"
its amazing for me. its completely thrilling so its make a good show,good show/amazing/completely thrilling/show/completely,good,"Good/like the show/everything,Suspense/Mystery/thrillers,,,,,"
You never know what's going to happen from week to week. It's unpredictable.,never know/going/week/unpredictable/going to happen,week,"Suspense/Mystery/thrillers,,,,,,"
The setting of the show and plot twists,plot twists/twists/setting/show/plot,plot twists,"Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,,"
well like i said ive only watched 1 and half shows.i didnt realize what all the ads ive sen what it was about until last week.now i know this is a must watch series,well like/well/watched/must watch series/like,half shows.i/last,"Good/like the show/everything,,,,,,"
I like the sci fi nature of the show. Love the plot twists. Love the cast and JJ Abrams.,show/love/plot twists/like/sci,jj abrams/plot twists,"Good cast/actors,Science fiction/fantasy,Other acting mentions,Suspense/Mystery/thrillers,,,"
Nothing the Westworld.,westworld/nothing the westworld/nothing,,"Good/like the show/everything,,,,,,"
It is a great show and draws me jn because of how unique and unpredictable it is. Even th fullest moments of the show make me excited to see what happens.,great show/show/great/draws/unique,fullest moments/great show/show,"Good/like the show/everything,Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,Suspense/Mystery/thrillers,Exciting,,"
"It started off very engaging, then they tried doing too much with the narrative, so I stopped watching.",stopped watching/engaging/narrative/watching/started,engaging,"Interesting/engaging,,,,,,"
It’s like nothing else on TV and seems like something that could plausibly happen in the future.,could plausibly happen/like nothing else/seems like something/nothing else/could plausibly,tv,"Attention grabbing/holds interest/keeps you wanting to watch more,Futuristic,,,,,"
Definitely the acting - all of the actors are extremely high-caliber and they never make the show seem unbelievable (even with all of the Scifi elements).,show seem unbelievable/scifi elements/extremely high/seem unbelievable/never make,scifi elements/actors/acting,"Good acting,Good cast/actors,Looks realistic,,,,"
The complex story line,complex story line/story line/complex story/line/complex,story,"Complex storyline,,,,,,"
To see if the robots will win,win/robots will win/see/robots,,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I like the story its very good,good/like/story/like the story,story,"Good storyline/subject matter,,,,,,"
Mostly it's the entire cast. The acting on the show is phenomenal and the story lines are very engaging.,entire cast/mostly/cast/story lines/entire,story lines/entire cast,"Good cast/actors,Good acting,Good storyline/subject matter,,,,"
goood,goood,,"Good/like the show/everything,,,,,,"
It addresses a lot of complex questions in an engaging way. Its storylines have enough mysteries and loose ends to make you want to see what happens in the next episode,engaging way/complex questions/way/next episode/addresses,enough mysteries/engaging way/complex questions,"Interesting/engaging,Good storyline/subject matter,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
It's an intriguing show that makes me think.,intriguing show/think/makes me think/intriguing/show,intriguing,"Exciting,Thought provoking,,,,,"
"It's a modern show about big data and privacy, and the characters are easy to follow.",modern show/big data/privacy/follow/data and privacy,modern show/big,"Creative/innovative/modern,Technological aspects (inclusion of robots, exploring AI, etc.),Appealing characters/I like the characters,,,,"
It is about the new world and how technology is changing and the world is evolving and it is exciting with all the characters and story lines. It really gets me interesting in finding out more and what happens next,new world/world/evolving/story lines/world is evolving,story lines/new world/world,"Other show characteristic mentions,Technological aspects (inclusion of robots, exploring AI, etc.),Appealing characters/I like the characters,Good storyline/subject matter,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,"
the better writing and the acting is quite good overall.,quite good overall/good overall/better writing/quite good/overall,better writing,"Like the writing/dialog,Good acting,,,,,"
It is different it has a lot of good characters and sub plots,sub plots/good characters/plots/different/lot,good characters/sub,"Unique/different,Appealing characters/I like the characters,Like the premise/setting/scenery,,,,"
The fact that it reflects our current society.,current society/society/fact/reflects/current,current,"Relevant to 21st century/existing in the world today/reflects our current society,,,,,,"
Suspense and character dynamics,character dynamics/suspense/dynamics/suspense and character/character,character,"Suspense/Mystery/thrillers,Appealing characters/I like the characters,,,,,"
I don't watch it,watch,,"None/no answer,,,,,,"
I just want to see if I can actually figure out what is happening.,actually figure/happening/want/see/actually,,"Suspense/Mystery/thrillers,,,,,,"
"Love how it’s a fake world, than all the twists on the show",fake world/love/world/show/fake,fake world,"Science fiction/fantasy,Suspense/Mystery/thrillers,,,,,"
no,,,"None/no answer,,,,,,"
I like the addition of the guy that played Jesse on breaking bad to the cast.,played jesse/like the addition/breaking bad/jesse/cast,guy/addition,"Other acting mentions,,,,,,"
i dont really watch the show,really watch/show/watch the show/really/watch,,"All negative mentions,,,,,,"
it makes me think,think/makes me think/makes,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
its extremely thought provoking. You feel like you are in the show,extremely thought provoking/thought provoking/extremely thought/provoking/extremely,thought,"Thought provoking,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"because this complete as possible,so that is very great and most beautiful.",possible/beautiful/complete as possible/complete/great,possible/complete,"Looks realistic,Good/like the show/everything,,,,,"
I want to know what happens next and I like the sci fi elements to the show.,happens next/next/want/know/happens,sci,"Attention grabbing/holds interest/keeps you wanting to watch more,Science fiction/fantasy,,,,,"
It has a complex storyline that provides suspense and lots of surprises.,complex storyline/provides suspense/surprises/lots of surprises/complex,complex storyline,"Complex storyline,Suspense/Mystery/thrillers,,,,,"
Westwood makes you want to watch More episodes.,westwood makes/westwood/episodes/watch more episodes/makes,more,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It's too many subplots,many subplots/subplots/many,many,"All negative mentions,,,,,,"
always a good twist,good twist/always/twist/good,good,"Suspense/Mystery/thrillers,,,,,,"
The complexity,complexity,,"Complex storyline,,,,,,"
all the different stories,different stories/stories/different,different,"Multiple story lines,,,,,,"
The writing is excellent and I want to see what happens next,happens next/next/writing/excellent/want,writing,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I'm not interested in the subject matter. It's too dark for me. I prefer other shows.,subject matter/matter/interested/subject/shows,subject matter/other,"All negative mentions,,,,,,"
"The genre , storyline and the visuals",genre/storyline/visuals,genre,"Like the genre,Good storyline/subject matter,Good visuals/graphics/special effects,,,,"
"The show's concept is different from anything else I've seen, and I like the cast.",anything else/seen/show/concept/cast,concept/show,"Unique/different,Good cast/actors,,,,,"
"Cast, writin, grenre",cast/writin/grenre,cast,"Good cast/actors,Like the writing/dialog,Like the genre,,,,"
Visual elements and character studies are interesting.,visual elements/character studies/visual/interesting/studies are interesting,visual elements,"Good visuals/graphics/special effects,Appealing characters/I like the characters,,,,,"
Like how they took a 1970's sci-fi concept and made it relevant for a 21st Century. Also has fantastic scripts and plot twists and well-cast with actors and actresses I've grown to love over the years.,21st century/century/sci/like/1970,fantastic scripts/21st century/fi concept,"Science fiction/fantasy,Relevant to 21st century/existing in the world today/reflects our current society,Like the writing/dialog,Suspense/Mystery/thrillers,Good cast/actors,,"
"Everything! Trying to figure out who is who, what everyone's motives are, and how this will all play out",everything/trying/everyone/motives/figure,,"Good/like the show/everything,Thought provoking,,,,,"
Syfy,syfy,,"Science fiction/fantasy,,,,,,"
I like the plot of the story,like the plot/story/like/plot,plot,"Like the premise/setting/scenery,,,,,,"
The science fiction concepts drew me in initially.,science fiction concepts/fiction concepts drew/science fiction/fiction concepts/concepts drew,fiction,"Science fiction/fantasy,,,,,,"
I love the originality and the sci-fi elements,love the originality/sci/elements/love/originality,fi elements,"Original,Science fiction/fantasy,,,,,"
The cast and mysterious nature of the plot,mysterious nature/plot/cast/mysterious/nature,mysterious nature,"Good cast/actors,Suspense/Mystery/thrillers,,,,,"
Interesting concept with a good story line and character s,good story line/interesting concept/good story/story line/interesting,interesting concept/story,"Interesting/engaging,Like the concept/idea of futuristic amusement park,Good storyline/subject matter,Appealing characters/I like the characters,,,"
Thanks ur service is good lov u,good lov/thanks/thanks ur service/service/good,good lov,"Other misc. mentions,,,,,,"
I was drawn into it by the cast.,cast/drawn,,"Attention grabbing/holds interest/keeps you wanting to watch more,Good cast/actors,,,,,"
It keeps changing stories,keeps changing stories/changing stories/keeps changing/stories/keeps,,"Suspense/Mystery/thrillers,,,,,,"
the plot and characters,characters/plot and characters/plot,plot,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
everything in this show is interesting,everything/interesting/show is interesting/show,show,"Interesting/engaging,,,,,,"
i like this good,good/like this good/like,,"Good/like the show/everything,,,,,,"
None that I know of,none/know,,"None/no answer,,,,,,"
Story,story,,"Good storyline/subject matter,,,,,,"
I like the visuals and the living ais,living ais/like the visuals/ais/like/visuals,visuals,"Good visuals/graphics/special effects,,,,,,"
Idk really nothing everything really nothing,really nothing everything/idk really nothing/idk really/nothing everything/really nothing,,"Don't know,,,,,,"
"The exploration of the parks and characters are extremely interested in the idea that someone could continuously go into the parks or continue in the parks and those characters escaping is thrilling. I was a big fan of the original movie and novel, but bringing the show Into the modern era has made it extremely interesting. I am not caught up on all of the episodes but I do intend to watch due to the acting riveting story lines and interesting nature of character development. The emotional attachment I have to some of the characters is greater than other shows in the genre. I am not a huge fan of Aaron Paul on the show. It seems a little odd to have him on the show due to his involvement in a show with similar dark storylines and themes.",someone could continuously/someone could/could continuously/parks/extremely interested,aaron paul/other shows/emotional attachment/character development/interesting nature,"Like the concept/idea of futuristic amusement park,Appealing characters/I like the characters,Suspense/Mystery/thrillers,Already seen/like the original movie,Creative/innovative/modern,Good acting,Other characters mentions"
None,none,,"None/no answer,,,,,,"
It s a good representation of what future entertainment parks would look like,would look like/future entertainment parks/entertainment parks would/parks would look/look like,entertainment/good,"Like the concept/idea of futuristic amusement park,,,,,,"
It’s a unique concept. The acting is amazing too and I adore the cast.,unique concept/concept/unique/cast/acting,unique concept,"Unique/different,Good acting,Good cast/actors,,,,"
It's very interesting,interesting,,"Interesting/engaging,,,,,,"
I havent finished the show and yall including major spoilers is a real weird move,real weird move/including major spoilers/weird move/including major/major spoilers,major spoilers,"Have not watched enough to comment/not familiar with the show,,,,,,"
"Nothing draws me to the show anymore, I do not watch any current seasons",nothing draws/show anymore/current seasons/nothing/anymore,current,"All negative mentions,,,,,,"
great cast great story line,great story line/cast great story/great cast great/story line/great cast,great story/great,"Good cast/actors,Good storyline/subject matter,,,,,"
It is different.,different,,"Unique/different,,,,,,"
It is very unique and has a plot that I've never seen before. I also like that there is always something unexpected happening.,never seen/something unexpected happening/never/unexpected happening/always something unexpected,unexpected happening,"Unique/different,Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,"
i want to keep pushing my brain,keep pushing/brain/pushing my brain/want/keep,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It’s just so good,good,,"Good/like the show/everything,,,,,,"
"Other than the overall cast of characters and the actors who portray them, I love the concept and sci-fi genre",overall cast/sci/genre/concept and sci/overall,fi genre/overall cast,"Good cast/actors,Like the concept/idea of futuristic amusement park,Science fiction/fantasy,,,,"
I love futuristic shows that really make you think. This show does that for me.,love futuristic shows/love futuristic/futuristic shows/really make/think,futuristic,"Futuristic,Thought provoking,,,,,"
The writing,writing,,"Like the writing/dialog,,,,,,"
It's a show about revolutions in a sci-fi universe,sci/universe/show/revolutions/show about revolutions,fi universe,"Science fiction/fantasy,,,,,,"
Guns,guns,,"Violence,,,,,,"
I like the action in it with the twist and turns in the plot,plot/like/action/twist/turns,action,"Like the action/adventurous,Suspense/Mystery/thrillers,,,,,"
It’s a good idea,good idea/idea/good,good,"Good/like the show/everything,,,,,,"
The Fantady element of the show. I'm a fan if the movie versions,fantady element/fantady/show/movie versions/element,fantady element/movie,"Science fiction/fantasy,Already seen/like the original movie,,,,,"
Curious as to how Delores is going to change the real world. And how the others are going to affect it too.,real world/delores/curious/world/delores is going,real world,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the character Dolores Abernathy,,,,,"
"I think, everything is okey.",think/everything/okey/everything is okey,,"Good/like the show/everything,,,,,,"
"Sci Fi, it's about things that can actually happen here in the close future.",close future/actually happen/sci/future/things,sci fi,"Science fiction/fantasy,Futuristic,,,,,"
THE CHARACTERS AND THE STORYLINES,storylines/characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
"season 1 was good, but confusing & I didn't have HBO when season 2 was on",hbo/good/confusing/season/hbo when season,good/season,"Good experience/liked the previous seasons,,,,,,"
"I like the wild west theme, the cinematography as the overall questions it raises about humanity.",wild west theme/west theme/wild west/overall questions/theme,overall questions/west,"Western aspect,Good visuals/graphics/special effects,,,,,"
Westwporld is a good show to watch on tv,good show/westwporld/good/show/watch,good show,"Good/like the show/everything,,,,,,"
"I haven't seen enough of the show to know, but it has a good cast and a complex storyline",seen enough/complex storyline/good cast/seen/know,good cast/complex,"Have not watched enough to comment/not familiar with the show,Good cast/actors,Complex storyline,,,,"
"It has/had an interesting plot line. I love the past seasons and how you don't know who is a host and who is a guest. This season is so confusing I almost want to stop watching, but I'll continue watching to see how it pans out. Actually, I don't know if I would continue to watch if it wasn't for Aaron Paul. He's an amazing actor.",interesting plot line/plot line/interesting plot/aaron paul/line,aaron paul/past seasons/plot/amazing,"Interesting/engaging,Like the premise/setting/scenery,Like Aaron Paul,,,,"
It’s different than any other show. The acting and storyline is great and captivating.,different/show/captivating/acting/storyline,other show/different,"Unique/different,Good acting,Good storyline/subject matter,,,,"
"I love the cast and the acting. HBO always has great tv series, I just have not had time to keep fully up to date",love the cast/hbo always/acting/hbo/love,great tv series/cast,"Good cast/actors,Good acting,Aired on HBO,,,,"
ercweqqxrwrcwercwercewrcwecrqcrqwecrqwecrqwerwqercwqecrwqercwecre,ercweqqxrwrcwercwercewrcwecrqcrqwecrqwecrqwerwqercwqecrwqercwecre,,"None/no answer,,,,,,"
I like the intrique of the characters.,like the intrique/characters/like/intrique,intrique,"Appealing characters/I like the characters,,,,,,"
it is thrilling and unexpected,unexpected/thrilling and unexpected/thrilling,,"Suspense/Mystery/thrillers,,,,,,"
The concept of what AI could be like in the future.,future/concept/could/like/could be like,concept,"Technological aspects (inclusion of robots, exploring AI, etc.),Futuristic,,,,,"
Never know what will happen next,never know/happen next/never/next/know,,"Suspense/Mystery/thrillers,,,,,,"
The overall story and the cast are great to me.,overall story/overall/story/cast/great,overall story,"Good storyline/subject matter,Good cast/actors,,,,,"
I enjoy the alternate reality aspect. I find it fascinating that AI could become the ruling class,alternate reality aspect/reality aspect/alternate reality/aspect/ruling class,alternate reality aspect,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
science fiction of artificial intelligent that could likely depict the real future world,real future world/could likely depict/science fiction/future world/artificial intelligent,science fiction/future,"Technological aspects (inclusion of robots, exploring AI, etc.),Looks realistic,Futuristic,,,,"
The technology in the show and how the characters interact with each other in that world.,characters interact/world/technology/show/characters,show/technology,"Technological aspects (inclusion of robots, exploring AI, etc.),Like the characters interaction,,,,,"
nothing,nothing,,"None/no answer,,,,,,"
It's a great concept and has a fantastic cast.,fantastic cast/great concept/cast/great/concept,great concept,"Like the concept/idea of futuristic amusement park,Good cast/actors,,,,,"
The thrill of it,thrill,,"Interesting/engaging,,,,,,"
all very good,good,,"Good/like the show/everything,,,,,,"
"It has a very complex storyline that, although hard to follow at times, is filled with excitement, adventure, violence, and mystery. All things I like in the show. There are multiple story lines going on at once which makes it very entertaining",although hard/complex storyline/adventure/violence/although,multiple story lines/complex storyline/times,"Complex storyline,Exciting,Like the action/adventurous,Violence,Suspense/Mystery/thrillers,Good/like the show/everything,Multiple story lines"
"Very good acting, thrilling story, and good sci-fi genre",thrilling story/good acting/good sci/acting/thrilling,thrilling story/good,"Good acting,Suspense/Mystery/thrillers,Science fiction/fantasy,,,,"
The amazing setting,amazing setting/setting/amazing,amazing,"Like the premise/setting/scenery,,,,,,"
"I love sci-fi. The acting, the writing and the visual effects on this show are all top notch! i loved each season so far. I loved in season one all the plot twists and how you just didn’t know what was really going on and how it was all brought together. Every week I can’t wait for the next episode. And after each season so far I can’t wait for the next season. And I hope they do even more after this one. I truly love this show.",love sci/season/sci/loved/wait,next season/plot twists/top notch/visual effects/next,"Science fiction/fantasy,Good acting,Like the writing/dialog,Good visuals/graphics/special effects,Good/like the show/everything,Suspense/Mystery/thrillers,"
I like the plot and the reason behind the show,like the plot/reason behind/show/behind the show/like,plot,"Like the premise/setting/scenery,Other storyline/Plot mentions,,,,,"
the actor,actor,,"Good cast/actors,,,,,,"
Great,great,,"Good/like the show/everything,,,,,,"
All the future and technology,technology/future and technology/future,future,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
different than other shows,different/shows,other,"Unique/different,,,,,,"
this is not good,good,,"All negative mentions,,,,,,"
The plot,plot,,"Good storyline/subject matter,,,,,,"
The fact that it's a sci-fi is the most appealing,sci/appealing/fact,sci/fact,"Science fiction/fantasy,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Tjebsci fin experience is amazing got to watch,tjebsci fin experience/tjebsci fin/fin experience/amazing got/tjebsci,tjebsci fin,"Science fiction/fantasy,Good/like the show/everything,,,,,"
Strange and unique plot lines,unique plot lines/plot lines/unique plot/strange/lines,unique plot,"Unique/different,,,,,,"
amazing,amazing,,"Good/like the show/everything,,,,,,"
the complex story that always gives new twists,gives new twists/always gives new/new twists/complex story/always gives,complex story,"Complex storyline,Suspense/Mystery/thrillers,,,,,"
Genre and characters,genre/characters/genre and characters,genre,"Like the genre,Appealing characters/I like the characters,,,,,"
haven't been engaged with the show for awhile so Im not sure,awhile/engaged/show/show for awhile/sure,show,"Have not watched enough to comment/not familiar with the show,,,,,,"
that the store line seems to ever changing,store line seems/ever changing/store line/line seems/changing,store,"Suspense/Mystery/thrillers,,,,,,"
Interesting storylines,interesting storylines/interesting/storylines,interesting,"Interesting/engaging,Good storyline/subject matter,,,,,"
Love the mystery,love/mystery/love the mystery,,"Suspense/Mystery/thrillers,,,,,,"
new directions,new directions/new/directions,new,"Unique/different,,,,,,"
"It is nothing like anything on TV, Second season was a little confusing the first time, but after watching it again, makes sense",nothing like anything/second season/makes sense/first time/nothing like,little confusing/second season,"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
the complexity of the characteristic and the wide imagination,wide imagination/imagination/complexity/characteristic/wide,wide imagination,"Like the character complexity,Science fiction/fantasy,,,,,"
"I really love the aotryline of the show. I feel like I can never guess what will happen next, and the actors and actresses are very good.",really love/love the aotryline/show/happen next/really,show/aotryline,"Good storyline/subject matter,Thought provoking,Good cast/actors,,,,"
I like the story is entertaining,entertaining/story is entertaining/like/story/like the story,,"Good storyline/subject matter,Witty/humorous/funny/entertaining,,,,,"
yes,yes,,"None/no answer,,,,,,"
It's different from other shows on tv at this time,different/time/shows,other shows,"Unique/different,,,,,,"
It always keeps you wondering what happens next,happens next/always keeps/next/always/keeps,,"Suspense/Mystery/thrillers,,,,,,"
its the best,best,,"Good/like the show/everything,,,,,,"
have already invested this much time into it to stop now,already invested/much time/already/invested/much,much,"All negative mentions,,,,,,"
I like this also good,also good/good/like/also/like this also,,"Good/like the show/everything,,,,,,"
It keeps you guessing as to what is actually happening and in what timeline.,actually happening/timeline/keeps/guessing/actually,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
I like scifi related shows but I don't like having a hard time following the story from season to season,scifi related shows/like scifi related/related shows/scifi related/like scifi,related shows/hard,"Science fiction/fantasy,,,,,,"
"It has the same title as a movie title, but it’s completely different",completely different/movie title/completely/different/title,same title/title,"Unique/different,,,,,,"
"It's violent, sexual and dark. That is just what I want to see after years of watching the Disney channel, Cartoon network, Nickelodeon with kids.",violent/cartoon network/sexual/dark/disney channel,cartoon network/disney channel/violent,"Violence,Other show characteristic mentions,Dark/sarcastic,,,,"
I like thandie newton she's my favorite actor and the reason I started watching. It always has me on the edge of my seat such brilliant writing. I'm hard to get one over on but it get me a lot of time. It does the same thing as game of thrones suspense so I've been hooked can't wait for the next episode.,like thandie newton/thandie newton/like thandie/newton/started watching,such brilliant/thrones suspense/same thing/favorite actor/thandie newton,"Like Thandie Newton,Attention grabbing/holds interest/keeps you wanting to watch more,Like the writing/dialog,Other misc. mentions,Suspense/Mystery/thrillers,,"
It's unique compared to other shows.,unique compared/unique/shows/compared,other,"Unique/different,,,,,,"
I don't know,know,,"Don't know,,,,,,"
It explores the thing margins of human behavior that we consider acceptable,consider acceptable/thing margins/human behavior/acceptable/explores,thing margins,"Other realistic/association with real life mentions,,,,,,"
I like the action and adventure,adventure/action and adventure/like/action/like the action,action,"Like the action/adventurous,,,,,,"
Great story line and suspense,great story line/great story/story line/great/suspense,great story,"Good storyline/subject matter,Suspense/Mystery/thrillers,,,,,"
love new thing going on,love new thing/new thing going/love new/new thing/thing going,new,"Unique/different,,,,,,"
nothing at all,nothing,,"None/no answer,,,,,,"
I really like how original it is and how even though it is sci-fi in nature it is the most realistic depiction of what would likely happen.,would likely happen/likely happen/really like/even though/realistic depiction,realistic depiction/original,"Original,Science fiction/fantasy,Looks realistic,,,,"
im not sure,sure,,"Don't know,,,,,,"
good,good,,"Good/like the show/everything,,,,,,"
none,none,,"None/no answer,,,,,,"
It's complicated,complicated,,"Complex storyline,,,,,,"
it's a bizarre storyline and makes you want to know what's going to happen next.,happen next/bizarre storyline/going/next/going to happen,bizarre,"Other storyline/Plot mentions,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"This show is totally different from other shows. It is full of drama, intrigue and violence.",totally different/shows/show/totally/different,other shows/different/show,"Unique/different,Like the drama,Interesting/engaging,Violence,,,"
"It's attention grabbing , the plots are good really want to see what happens next",attention grabbing/good really want/happens next/good really/really want,attention,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the premise/setting/scenery,,,,,"
The plot complexities are good and this season is more up front than last season which I didn’t enjoy as much,plot complexities/last season/enjoy/much/enjoy as much,plot complexities/season,"Complex storyline,Witty/humorous/funny/entertaining,,,,,"
Interesting characters and sherry line. The thought that this could actually happen. Season 3 has not grabbed my attention like 1 and 2.,interesting characters/sherry line/interesting/line/could actually happen,interesting characters/sherry,"Appealing characters/I like the characters,,,,,,"
It gives me something to talk about with my wife while we are watching,watching/gives/something/talk/wife,,"Other misc. mentions,,,,,,"
The dystopian world of technology,dystopian world/technology/world of technology/dystopian/world,dystopian,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
the cast and interesting storyline,interesting storyline/storyline/cast/interesting/cast and interesting,interesting,"Good cast/actors,Good storyline/subject matter,,,,,"
The show is very complex and unique. It keeps me interested and intrigued the whole time I am watching it. It has some very interesting and unique characters as well as settings.,show/complex/unique/whole time/unique characters,unique characters/whole time/unique,"Complex storyline,Unique/different,Interesting/engaging,Appealing characters/I like the characters,Like the premise/setting/scenery,,"
Not very interested in the story line,story line/line/interested/story,story,"All negative mentions,,,,,,"
