Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
Nothing,nothing,nothing,,,"None/no answer,,,,,,"
It has a nice story.,nice story/story/nice,nice story,nice,nice,"Good storyline/subject matter,,,,,,"
The high quality program,high quality program/quality program/high quality/program/high,high quality program,quality,quality,"High quality show/high production values,,,,,,"
Seeing what happens next. Never sure how the story is going to progress.,happens next/seeing/next/seeing what happens/happens,happens next/seeing what happens,,,"Suspense/Mystery/thrillers,,,,,,"
It’s character driven with amazing sets and visuals.,character driven/amazing sets/character/visuals/sets and visuals,character driven/amazing sets/sets and visuals,amazing sets,amazing sets,"Appealing characters/I like the characters,Like the premise/setting/scenery,Good visuals/graphics/special effects,,,,"
Very good show to watch I really enjoy it,good show/really enjoy/good/show/watch,good show/really enjoy/watch,good,good,"Good/like the show/everything,Witty/humorous/funny/entertaining,,,,,"
I'm really not sure I've only watched it once,really/really not sure/sure/watched,really not sure/watched,,,"Have not watched enough to comment/not familiar with the show,,,,,,"
i dont know what to say but am really excited for this new season of this beloved show,beloved show/really excited/new season/show/know,beloved show/really excited/new season/know,new season,new season,"Exciting,,,,,,"
I think that because they have a futuristic and western setting at the same time it really keeps me watching,western setting/really keeps/watching/keeps me watching/think,western setting/really keeps/keeps me watching/think,western setting,western setting,"Futuristic,Western aspect,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Just the reality warping type drama it brings.,reality warping type/warping type drama/reality warping/warping type/type drama,reality warping type/warping type drama,warping type,warping type,"Looks realistic,,,,,,"
You have any questions or would like to discuss this matter is greatly welcome in this matter as I have a very good time to work,would like/greatly welcome/good time/work/matter,would like/greatly welcome/good time/work/matter,good time,good time,"None/no answer,,,,,,"
cool,cool,cool,,,"Good/like the show/everything,,,,,,"
qwertyuijytrewertyuiujyhtgretyjghjgfedwrtyjh,qwertyuijytrewertyuiujyhtgretyjghjgfedwrtyjh,qwertyuijytrewertyuiujyhtgretyjghjgfedwrtyjh,,,"None/no answer,,,,,,"
N/A,None,None,n,n,"None/no answer,,,,,,"
"The character arc, particularly if Dolores and the man in back are very interesting. The show itself tackles interesting concepts in a new and different way",character arc/dolores/tackles interesting concepts/particularly if dolores/arc,character arc/tackles interesting concepts/particularly if dolores,interesting concepts/character arc/different/interesting,interesting concepts/character arc/different,"Like the character Dolores Abernathy,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
Have only seen part of one episode so I have no opinion.,one episode/seen part/episode/seen/part,one episode/seen part,part,part,"Have not watched enough to comment/not familiar with the show,,,,,,"
"The writing, the story, the acting, the scenery are all impressively done. Love the genre",impressively done/writing/story/acting/done,impressively done/writing/story/acting,story/writing,story/writing,"Like the writing/dialog,Good acting,Like the premise/setting/scenery,Like the genre,,,"
Interesting,interesting,interesting,,,"Interesting/engaging,,,,,,"
It's a good kind of dark storytelling,dark storytelling/good kind/storytelling/good/kind,dark storytelling/good kind,good kind,good kind,"Good/like the show/everything,Dark/sarcastic,,,,,"
"You totally misunderstand. I’ve seen one episode, the first episode, a year or two ago. Write your survey better.",totally misunderstand/misunderstand/seen one episode/episode/totally,totally misunderstand/seen one episode,first episode/episode,first episode,"Have not watched enough to comment/not familiar with the show,,,,,,"
"The story line is different, but it is engaging. The characters are make the show exciting, yet it has a darkness to it. The privacy aspect of the show reflects how big ben is always lurking.",story line/different/engaging/show exciting/line is different,story line/engaging/show exciting/line is different,show exciting/story line/show/privacy,show exciting/story line/privacy,"Unique/different,Interesting/engaging,Appealing characters/I like the characters,Exciting,Other storyline/Plot mentions,,"
I like the drama,drama/like the drama/like,like the drama,,,"Like the drama,,,,,,"
I love the actors,actors/love the actors/love,love the actors,,,"Good cast/actors,,,,,,"
extermely,extermely,extermely,,,"Good/like the show/everything,,,,,,"
The artificial intelligence involved in the plot,artificial intelligence involved/artificial intelligence/intelligence involved/plot/artificial,artificial intelligence involved/plot,artificial,artificial,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Great show!,great show/great/show,great show,great,great,"Good/like the show/everything,,,,,,"
It’s very different from any other show,show/different,show/different,other,other,"Unique/different,,,,,,"
No NFL football to watch,nfl football/nfl/watch/football to watch/football,nfl football/football to watch,nfl,nfl,"Other misc. mentions,,,,,,"
waching this program makes me very motivated and can learn a lot,program makes/waching/lot/waching this program/program,program makes/lot/waching this program,program,program,"Other show characteristic mentions,,,,,,"
I love the nudity.,nudity/love the nudity/love,love the nudity,,,"Other storyline/Plot mentions,,,,,,"
"I like sci-fi and it is one of my favorite genres. Artificial Intelligence is also a main talking point at the moment, especially as we as a race move towards more machines and electronics. What makes it a good show is that it is engaging, well-written, has good plots, and knows how to keep the audience engaged.",like sci/sci/artificial intelligence/favorite genres/like,like sci/artificial intelligence/favorite genres,race move/artificial intelligence/favorite genres/good/talking,race move/artificial intelligence/favorite genres/good/talking,"Science fiction/fantasy,Like the genre,Technological aspects (inclusion of robots, exploring AI, etc.),Like the writing/dialog,Like the premise/setting/scenery,Interesting/engaging,"
the unusual sci-fi aspect,unusual sci/sci/aspect/unusual,unusual sci/aspect,unusual sci,unusual sci,"Suspense/Mystery/thrillers,Science fiction/fantasy,,,,,"
Season 2 was hard to follow...I don't know if I would do season 3 unless someone said that it was better,follow/hard to follow/season/hard/unless someone said,hard to follow/season/unless someone said,season,season,"All negative mentions,,,,,,"
Like futuristic element - but want to also keep loving characters from beginning. hard to follow at times. haven't started season 3 yet,like futuristic element/also keep loving/keep loving characters/like futuristic/futuristic element,like futuristic element/also keep loving/keep loving characters,futuristic element,futuristic element,"Futuristic,Appealing characters/I like the characters,,,,,"
because it is very good and i like it very much,good/much/like,good/much/like,,,"Good/like the show/everything,,,,,,"
my whole house sits together to watch,whole house sits/house sits together/whole house/house sits/sits together,whole house sits/house sits together,whole,whole,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
nothing anymore. season 2 was too confusing,nothing anymore/nothing/anymore/season/confusing,nothing anymore/season/confusing,season,season,"All negative mentions,,,,,,"
The show is very surprising and there is nothing else like it,nothing else like/nothing else/else like/show/surprising,nothing else like/show/surprising,show,show,"Suspense/Mystery/thrillers,Unique/different,,,,,"
i like the artistic design behind the world that show lives in,artistic design behind/artistic design/design behind/show lives/like,artistic design behind/show lives/like,artistic,artistic,"Other High quality production values Mentions,,,,,,"
The continuous plot twists,continuous plot twists/plot twists/continuous plot/twists/continuous,continuous plot twists,plot,plot,"Suspense/Mystery/thrillers,,,,,,"
The futuristic nature of the show. The idea behind AI becoming more self aware and self directed. I like sci-fi. It can be a frustrating show to watch though as it is sometimes hard to follow.,futuristic nature/futuristic/nature/self directed/self,futuristic nature/self directed,frustrating show/futuristic nature/self/show,frustrating show/futuristic nature/self,"Futuristic,Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,,,"
its amazing for me. its completely thrilling so its make a good show,good show/amazing/completely thrilling/show/completely,good show/amazing/completely thrilling,good,good,"Good/like the show/everything,Suspense/Mystery/thrillers,,,,,"
You never know what's going to happen from week to week. It's unpredictable.,never know/going/week/unpredictable/going to happen,never know/week/unpredictable/going to happen,week,week,"Suspense/Mystery/thrillers,,,,,,"
The setting of the show and plot twists,plot twists/twists/setting/show/plot,plot twists/setting/show,plot twists,plot twists,"Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,,"
well like i said ive only watched 1 and half shows.i didnt realize what all the ads ive sen what it was about until last week.now i know this is a must watch series,well like/well/watched/must watch series/like,well like/watched/must watch series,half shows.i/last,half shows.i/last,"Good/like the show/everything,,,,,,"
I like the sci fi nature of the show. Love the plot twists. Love the cast and JJ Abrams.,show/love/plot twists/like/sci,show/love/plot twists/like/sci,jj abrams/plot twists,jj abrams/plot twists,"Good cast/actors,Science fiction/fantasy,Other acting mentions,Suspense/Mystery/thrillers,,,"
Nothing the Westworld.,westworld/nothing the westworld/nothing,nothing the westworld,,,"Good/like the show/everything,,,,,,"
It is a great show and draws me jn because of how unique and unpredictable it is. Even th fullest moments of the show make me excited to see what happens.,great show/show/great/draws/unique,great show/draws/unique,fullest moments/great show/show,fullest moments/great show,"Good/like the show/everything,Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,Suspense/Mystery/thrillers,Exciting,,"
"It started off very engaging, then they tried doing too much with the narrative, so I stopped watching.",stopped watching/engaging/narrative/watching/started,stopped watching/engaging/narrative/started,engaging,engaging,"Interesting/engaging,,,,,,"
It’s like nothing else on TV and seems like something that could plausibly happen in the future.,could plausibly happen/like nothing else/seems like something/nothing else/could plausibly,could plausibly happen/like nothing else/seems like something,tv,tv,"Attention grabbing/holds interest/keeps you wanting to watch more,Futuristic,,,,,"
Definitely the acting - all of the actors are extremely high-caliber and they never make the show seem unbelievable (even with all of the Scifi elements).,show seem unbelievable/scifi elements/extremely high/seem unbelievable/never make,show seem unbelievable/scifi elements/extremely high/never make,scifi elements/actors/acting,scifi elements/actors/acting,"Good acting,Good cast/actors,Looks realistic,,,,"
The complex story line,complex story line/story line/complex story/line/complex,complex story line,story,story,"Complex storyline,,,,,,"
To see if the robots will win,win/robots will win/see/robots,robots will win/see,,,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I like the story its very good,good/like/story/like the story,good/like the story,story,story,"Good storyline/subject matter,,,,,,"
Mostly it's the entire cast. The acting on the show is phenomenal and the story lines are very engaging.,entire cast/mostly/cast/story lines/entire,entire cast/mostly/story lines,story lines/entire cast,story lines/entire cast,"Good cast/actors,Good acting,Good storyline/subject matter,,,,"
goood,goood,goood,,,"Good/like the show/everything,,,,,,"
It addresses a lot of complex questions in an engaging way. Its storylines have enough mysteries and loose ends to make you want to see what happens in the next episode,engaging way/complex questions/way/next episode/addresses,engaging way/complex questions/next episode/addresses,enough mysteries/engaging way/complex questions,enough mysteries/engaging way/complex questions,"Interesting/engaging,Good storyline/subject matter,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
It's an intriguing show that makes me think.,intriguing show/think/makes me think/intriguing/show,intriguing show/makes me think,intriguing,intriguing,"Exciting,Thought provoking,,,,,"
"It's a modern show about big data and privacy, and the characters are easy to follow.",modern show/big data/privacy/follow/data and privacy,modern show/big data/follow/data and privacy,modern show/big,modern show/big,"Creative/innovative/modern,Technological aspects (inclusion of robots, exploring AI, etc.),Appealing characters/I like the characters,,,,"
It is about the new world and how technology is changing and the world is evolving and it is exciting with all the characters and story lines. It really gets me interesting in finding out more and what happens next,new world/world/evolving/story lines/world is evolving,new world/story lines/world is evolving,story lines/new world/world,story lines/new world,"Other show characteristic mentions,Technological aspects (inclusion of robots, exploring AI, etc.),Appealing characters/I like the characters,Good storyline/subject matter,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,"
the better writing and the acting is quite good overall.,quite good overall/good overall/better writing/quite good/overall,quite good overall/better writing,better writing,better writing,"Like the writing/dialog,Good acting,,,,,"
It is different it has a lot of good characters and sub plots,sub plots/good characters/plots/different/lot,sub plots/good characters/different,good characters/sub,good characters/sub,"Unique/different,Appealing characters/I like the characters,Like the premise/setting/scenery,,,,"
The fact that it reflects our current society.,current society/society/fact/reflects/current,current society/fact/reflects,current,current,"Relevant to 21st century/existing in the world today/reflects our current society,,,,,,"
Suspense and character dynamics,character dynamics/suspense/dynamics/suspense and character/character,character dynamics/suspense and character,character,character,"Suspense/Mystery/thrillers,Appealing characters/I like the characters,,,,,"
I don't watch it,watch,watch,,,"None/no answer,,,,,,"
I just want to see if I can actually figure out what is happening.,actually figure/happening/want/see/actually,actually figure/happening/want/see,,,"Suspense/Mystery/thrillers,,,,,,"
"Love how it’s a fake world, than all the twists on the show",fake world/love/world/show/fake,fake world/love/show,fake world,fake world,"Science fiction/fantasy,Suspense/Mystery/thrillers,,,,,"
no,None,None,,,"None/no answer,,,,,,"
I like the addition of the guy that played Jesse on breaking bad to the cast.,played jesse/like the addition/breaking bad/jesse/cast,played jesse/like the addition/breaking bad/cast,guy/addition,guy/addition,"Other acting mentions,,,,,,"
i dont really watch the show,really watch/show/watch the show/really/watch,really watch/watch the show,,,"All negative mentions,,,,,,"
it makes me think,think/makes me think/makes,makes me think,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
its extremely thought provoking. You feel like you are in the show,extremely thought provoking/thought provoking/extremely thought/provoking/extremely,extremely thought provoking,thought,thought,"Thought provoking,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"because this complete as possible,so that is very great and most beautiful.",possible/beautiful/complete as possible/complete/great,beautiful/complete as possible/great,possible/complete,possible/complete,"Looks realistic,Good/like the show/everything,,,,,"
I want to know what happens next and I like the sci fi elements to the show.,happens next/next/want/know/happens,happens next/want/know,sci,sci,"Attention grabbing/holds interest/keeps you wanting to watch more,Science fiction/fantasy,,,,,"
It has a complex storyline that provides suspense and lots of surprises.,complex storyline/provides suspense/surprises/lots of surprises/complex,complex storyline/provides suspense/lots of surprises,complex storyline,complex storyline,"Complex storyline,Suspense/Mystery/thrillers,,,,,"
Westwood makes you want to watch More episodes.,westwood makes/westwood/episodes/watch more episodes/makes,westwood makes/watch more episodes,more,more,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It's too many subplots,many subplots/subplots/many,many subplots,many,many,"All negative mentions,,,,,,"
always a good twist,good twist/always/twist/good,good twist/always,good,good,"Suspense/Mystery/thrillers,,,,,,"
The complexity,complexity,complexity,,,"Complex storyline,,,,,,"
all the different stories,different stories/stories/different,different stories,different,different,"Multiple story lines,,,,,,"
The writing is excellent and I want to see what happens next,happens next/next/writing/excellent/want,happens next/writing/excellent/want,writing,writing,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I'm not interested in the subject matter. It's too dark for me. I prefer other shows.,subject matter/matter/interested/subject/shows,subject matter/interested/shows,subject matter/other,subject matter/other,"All negative mentions,,,,,,"
"The genre , storyline and the visuals",genre/storyline/visuals,genre/storyline/visuals,genre,genre,"Like the genre,Good storyline/subject matter,Good visuals/graphics/special effects,,,,"
"The show's concept is different from anything else I've seen, and I like the cast.",anything else/seen/show/concept/cast,anything else/seen/show/concept/cast,concept/show,concept/show,"Unique/different,Good cast/actors,,,,,"
"Cast, writin, grenre",cast/writin/grenre,cast/writin/grenre,cast,cast,"Good cast/actors,Like the writing/dialog,Like the genre,,,,"
Visual elements and character studies are interesting.,visual elements/character studies/visual/interesting/studies are interesting,visual elements/character studies/studies are interesting,visual elements,visual elements,"Good visuals/graphics/special effects,Appealing characters/I like the characters,,,,,"
Like how they took a 1970's sci-fi concept and made it relevant for a 21st Century. Also has fantastic scripts and plot twists and well-cast with actors and actresses I've grown to love over the years.,21st century/century/sci/like/1970,21st century/sci/like/1970,fantastic scripts/21st century/fi concept,fantastic scripts/21st century/fi concept,"Science fiction/fantasy,Relevant to 21st century/existing in the world today/reflects our current society,Like the writing/dialog,Suspense/Mystery/thrillers,Good cast/actors,,"
"Everything! Trying to figure out who is who, what everyone's motives are, and how this will all play out",everything/trying/everyone/motives/figure,everything/trying/everyone/motives/figure,,,"Good/like the show/everything,Thought provoking,,,,,"
Syfy,syfy,syfy,,,"Science fiction/fantasy,,,,,,"
I like the plot of the story,like the plot/story/like/plot,like the plot/story,plot,plot,"Like the premise/setting/scenery,,,,,,"
The science fiction concepts drew me in initially.,science fiction concepts/fiction concepts drew/science fiction/fiction concepts/concepts drew,science fiction concepts/fiction concepts drew,fiction,fiction,"Science fiction/fantasy,,,,,,"
I love the originality and the sci-fi elements,love the originality/sci/elements/love/originality,love the originality/sci/elements,fi elements,fi elements,"Original,Science fiction/fantasy,,,,,"
The cast and mysterious nature of the plot,mysterious nature/plot/cast/mysterious/nature,mysterious nature/plot/cast,mysterious nature,mysterious nature,"Good cast/actors,Suspense/Mystery/thrillers,,,,,"
Interesting concept with a good story line and character s,good story line/interesting concept/good story/story line/interesting,good story line/interesting concept,interesting concept/story,interesting concept/story,"Interesting/engaging,Like the concept/idea of futuristic amusement park,Good storyline/subject matter,Appealing characters/I like the characters,,,"
Thanks ur service is good lov u,good lov/thanks/thanks ur service/service/good,good lov/thanks ur service,good lov,good lov,"Other misc. mentions,,,,,,"
I was drawn into it by the cast.,cast/drawn,cast/drawn,,,"Attention grabbing/holds interest/keeps you wanting to watch more,Good cast/actors,,,,,"
It keeps changing stories,keeps changing stories/changing stories/keeps changing/stories/keeps,keeps changing stories,,,"Suspense/Mystery/thrillers,,,,,,"
the plot and characters,characters/plot and characters/plot,plot and characters,plot,plot,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
everything in this show is interesting,everything/interesting/show is interesting/show,everything/show is interesting,show,show,"Interesting/engaging,,,,,,"
i like this good,good/like this good/like,like this good,,,"Good/like the show/everything,,,,,,"
None that I know of,none/know,none/know,,,"None/no answer,,,,,,"
Story,story,story,,,"Good storyline/subject matter,,,,,,"
I like the visuals and the living ais,living ais/like the visuals/ais/like/visuals,living ais/like the visuals,visuals,visuals,"Good visuals/graphics/special effects,,,,,,"
Idk really nothing everything really nothing,really nothing everything/idk really nothing/idk really/nothing everything/really nothing,really nothing everything/idk really nothing,,,"Don't know,,,,,,"
"The exploration of the parks and characters are extremely interested in the idea that someone could continuously go into the parks or continue in the parks and those characters escaping is thrilling. I was a big fan of the original movie and novel, but bringing the show Into the modern era has made it extremely interesting. I am not caught up on all of the episodes but I do intend to watch due to the acting riveting story lines and interesting nature of character development. The emotional attachment I have to some of the characters is greater than other shows in the genre. I am not a huge fan of Aaron Paul on the show. It seems a little odd to have him on the show due to his involvement in a show with similar dark storylines and themes.",someone could continuously/someone could/could continuously/parks/extremely interested,someone could continuously/parks/extremely interested,aaron paul/other shows/emotional attachment/character development/interesting nature,aaron paul/other shows/emotional attachment/character development/interesting nature,"Like the concept/idea of futuristic amusement park,Appealing characters/I like the characters,Suspense/Mystery/thrillers,Already seen/like the original movie,Creative/innovative/modern,Good acting,Other characters mentions"
None,none,none,,,"None/no answer,,,,,,"
It s a good representation of what future entertainment parks would look like,would look like/future entertainment parks/entertainment parks would/parks would look/look like,would look like/future entertainment parks/entertainment parks would/parks would look,entertainment/good,entertainment/good,"Like the concept/idea of futuristic amusement park,,,,,,"
It’s a unique concept. The acting is amazing too and I adore the cast.,unique concept/concept/unique/cast/acting,unique concept/cast/acting,unique concept,unique concept,"Unique/different,Good acting,Good cast/actors,,,,"
It's very interesting,interesting,interesting,,,"Interesting/engaging,,,,,,"
I havent finished the show and yall including major spoilers is a real weird move,real weird move/including major spoilers/weird move/including major/major spoilers,real weird move/including major spoilers,major spoilers,major spoilers,"Have not watched enough to comment/not familiar with the show,,,,,,"
"Nothing draws me to the show anymore, I do not watch any current seasons",nothing draws/show anymore/current seasons/nothing/anymore,nothing draws/show anymore/current seasons,current,current,"All negative mentions,,,,,,"
great cast great story line,great story line/cast great story/great cast great/story line/great cast,great story line/cast great story/great cast great,great story/great,great story,"Good cast/actors,Good storyline/subject matter,,,,,"
It is different.,different,different,,,"Unique/different,,,,,,"
It is very unique and has a plot that I've never seen before. I also like that there is always something unexpected happening.,never seen/something unexpected happening/never/unexpected happening/always something unexpected,never seen/something unexpected happening/always something unexpected,unexpected happening,unexpected happening,"Unique/different,Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,"
i want to keep pushing my brain,keep pushing/brain/pushing my brain/want/keep,keep pushing/pushing my brain/want,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It’s just so good,good,good,,,"Good/like the show/everything,,,,,,"
"Other than the overall cast of characters and the actors who portray them, I love the concept and sci-fi genre",overall cast/sci/genre/concept and sci/overall,overall cast/genre/concept and sci,fi genre/overall cast,fi genre/overall cast,"Good cast/actors,Like the concept/idea of futuristic amusement park,Science fiction/fantasy,,,,"
I love futuristic shows that really make you think. This show does that for me.,love futuristic shows/love futuristic/futuristic shows/really make/think,love futuristic shows/really make/think,futuristic,futuristic,"Futuristic,Thought provoking,,,,,"
The writing,writing,writing,,,"Like the writing/dialog,,,,,,"
It's a show about revolutions in a sci-fi universe,sci/universe/show/revolutions/show about revolutions,sci/universe/show about revolutions,fi universe,fi universe,"Science fiction/fantasy,,,,,,"
Guns,guns,guns,,,"Violence,,,,,,"
I like the action in it with the twist and turns in the plot,plot/like/action/twist/turns,plot/like/action/twist/turns,action,action,"Like the action/adventurous,Suspense/Mystery/thrillers,,,,,"
It’s a good idea,good idea/idea/good,good idea,good,good,"Good/like the show/everything,,,,,,"
The Fantady element of the show. I'm a fan if the movie versions,fantady element/fantady/show/movie versions/element,fantady element/show/movie versions,fantady element/movie,fantady element/movie,"Science fiction/fantasy,Already seen/like the original movie,,,,,"
Curious as to how Delores is going to change the real world. And how the others are going to affect it too.,real world/delores/curious/world/delores is going,real world/curious/delores is going,real world,real world,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the character Dolores Abernathy,,,,,"
"I think, everything is okey.",think/everything/okey/everything is okey,think/everything is okey,,,"Good/like the show/everything,,,,,,"
"Sci Fi, it's about things that can actually happen here in the close future.",close future/actually happen/sci/future/things,close future/actually happen/sci/things,sci fi,sci fi,"Science fiction/fantasy,Futuristic,,,,,"
THE CHARACTERS AND THE STORYLINES,storylines/characters,storylines/characters,characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
"season 1 was good, but confusing & I didn't have HBO when season 2 was on",hbo/good/confusing/season/hbo when season,good/confusing/hbo when season,good/season,good/season,"Good experience/liked the previous seasons,,,,,,"
"I like the wild west theme, the cinematography as the overall questions it raises about humanity.",wild west theme/west theme/wild west/overall questions/theme,wild west theme/overall questions,overall questions/west,overall questions/west,"Western aspect,Good visuals/graphics/special effects,,,,,"
Westwporld is a good show to watch on tv,good show/westwporld/good/show/watch,good show/westwporld/watch,good show,good show,"Good/like the show/everything,,,,,,"
"I haven't seen enough of the show to know, but it has a good cast and a complex storyline",seen enough/complex storyline/good cast/seen/know,seen enough/complex storyline/good cast/know,good cast/complex,good cast/complex,"Have not watched enough to comment/not familiar with the show,Good cast/actors,Complex storyline,,,,"
"It has/had an interesting plot line. I love the past seasons and how you don't know who is a host and who is a guest. This season is so confusing I almost want to stop watching, but I'll continue watching to see how it pans out. Actually, I don't know if I would continue to watch if it wasn't for Aaron Paul. He's an amazing actor.",interesting plot line/plot line/interesting plot/aaron paul/line,interesting plot line/aaron paul,aaron paul/past seasons/plot/amazing,aaron paul/past seasons/plot/amazing,"Interesting/engaging,Like the premise/setting/scenery,Like Aaron Paul,,,,"
It’s different than any other show. The acting and storyline is great and captivating.,different/show/captivating/acting/storyline,different/show/captivating/acting/storyline,other show/different,other show/different,"Unique/different,Good acting,Good storyline/subject matter,,,,"
"I love the cast and the acting. HBO always has great tv series, I just have not had time to keep fully up to date",love the cast/hbo always/acting/hbo/love,love the cast/hbo always/acting,great tv series/cast,great tv series/cast,"Good cast/actors,Good acting,Aired on HBO,,,,"
ercweqqxrwrcwercwercewrcwecrqcrqwecrqwecrqwerwqercwqecrwqercwecre,ercweqqxrwrcwercwercewrcwecrqcrqwecrqwecrqwerwqercwqecrwqercwecre,ercweqqxrwrcwercwercewrcwecrqcrqwecrqwecrqwerwqercwqecrwqercwecre,,,"None/no answer,,,,,,"
I like the intrique of the characters.,like the intrique/characters/like/intrique,like the intrique/characters,intrique,intrique,"Appealing characters/I like the characters,,,,,,"
it is thrilling and unexpected,unexpected/thrilling and unexpected/thrilling,thrilling and unexpected,,,"Suspense/Mystery/thrillers,,,,,,"
The concept of what AI could be like in the future.,future/concept/could/like/could be like,future/concept/could be like,concept,concept,"Technological aspects (inclusion of robots, exploring AI, etc.),Futuristic,,,,,"
Never know what will happen next,never know/happen next/never/next/know,never know/happen next,,,"Suspense/Mystery/thrillers,,,,,,"
The overall story and the cast are great to me.,overall story/overall/story/cast/great,overall story/cast/great,overall story,overall story,"Good storyline/subject matter,Good cast/actors,,,,,"
I enjoy the alternate reality aspect. I find it fascinating that AI could become the ruling class,alternate reality aspect/reality aspect/alternate reality/aspect/ruling class,alternate reality aspect/ruling class,alternate reality aspect,alternate reality aspect,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
science fiction of artificial intelligent that could likely depict the real future world,real future world/could likely depict/science fiction/future world/artificial intelligent,real future world/could likely depict/science fiction/artificial intelligent,science fiction/future,science fiction/future,"Technological aspects (inclusion of robots, exploring AI, etc.),Looks realistic,Futuristic,,,,"
The technology in the show and how the characters interact with each other in that world.,characters interact/world/technology/show/characters,characters interact/world/technology/show,show/technology,show/technology,"Technological aspects (inclusion of robots, exploring AI, etc.),Like the characters interaction,,,,,"
nothing,nothing,nothing,,,"None/no answer,,,,,,"
It's a great concept and has a fantastic cast.,fantastic cast/great concept/cast/great/concept,fantastic cast/great concept,great concept,great concept,"Like the concept/idea of futuristic amusement park,Good cast/actors,,,,,"
The thrill of it,thrill,thrill,,,"Interesting/engaging,,,,,,"
all very good,good,good,,,"Good/like the show/everything,,,,,,"
"It has a very complex storyline that, although hard to follow at times, is filled with excitement, adventure, violence, and mystery. All things I like in the show. There are multiple story lines going on at once which makes it very entertaining",although hard/complex storyline/adventure/violence/although,although hard/complex storyline/adventure/violence,multiple story lines/complex storyline/times,multiple story lines/complex storyline/times,"Complex storyline,Exciting,Like the action/adventurous,Violence,Suspense/Mystery/thrillers,Good/like the show/everything,Multiple story lines"
"Very good acting, thrilling story, and good sci-fi genre",thrilling story/good acting/good sci/acting/thrilling,thrilling story/good acting/good sci,thrilling story/good,thrilling story/good,"Good acting,Suspense/Mystery/thrillers,Science fiction/fantasy,,,,"
The amazing setting,amazing setting/setting/amazing,amazing setting,amazing,amazing,"Like the premise/setting/scenery,,,,,,"
"I love sci-fi. The acting, the writing and the visual effects on this show are all top notch! i loved each season so far. I loved in season one all the plot twists and how you just didn’t know what was really going on and how it was all brought together. Every week I can’t wait for the next episode. And after each season so far I can’t wait for the next season. And I hope they do even more after this one. I truly love this show.",love sci/season/sci/loved/wait,love sci/season/loved/wait,next season/plot twists/top notch/visual effects/next,next season/plot twists/top notch/visual effects,"Science fiction/fantasy,Good acting,Like the writing/dialog,Good visuals/graphics/special effects,Good/like the show/everything,Suspense/Mystery/thrillers,"
I like the plot and the reason behind the show,like the plot/reason behind/show/behind the show/like,like the plot/reason behind/behind the show,plot,plot,"Like the premise/setting/scenery,Other storyline/Plot mentions,,,,,"
the actor,actor,actor,,,"Good cast/actors,,,,,,"
Great,great,great,,,"Good/like the show/everything,,,,,,"
All the future and technology,technology/future and technology/future,future and technology,future,future,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
different than other shows,different/shows,different/shows,other,other,"Unique/different,,,,,,"
this is not good,good,good,,,"All negative mentions,,,,,,"
The plot,plot,plot,,,"Good storyline/subject matter,,,,,,"
The fact that it's a sci-fi is the most appealing,sci/appealing/fact,sci/appealing/fact,sci/fact,sci/fact,"Science fiction/fantasy,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Tjebsci fin experience is amazing got to watch,tjebsci fin experience/tjebsci fin/fin experience/amazing got/tjebsci,tjebsci fin experience/amazing got,tjebsci fin,tjebsci fin,"Science fiction/fantasy,Good/like the show/everything,,,,,"
Strange and unique plot lines,unique plot lines/plot lines/unique plot/strange/lines,unique plot lines/strange,unique plot,unique plot,"Unique/different,,,,,,"
amazing,amazing,amazing,,,"Good/like the show/everything,,,,,,"
the complex story that always gives new twists,gives new twists/always gives new/new twists/complex story/always gives,gives new twists/always gives new/complex story,complex story,complex story,"Complex storyline,Suspense/Mystery/thrillers,,,,,"
Genre and characters,genre/characters/genre and characters,genre and characters,genre,genre,"Like the genre,Appealing characters/I like the characters,,,,,"
